"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04658","Th1 and Th2 cell differentiation","27/1446","92/8586",0.00192989426959623,0.0380302694302786,0.0304720147830983,"3122/5600/2353/3109/3123/3113/4094/3108/3460/3561/4773/3115/6300/5594/3725/5602/4854/6778/5534/3716/3459/55534/6776/3119/3717/8517/11317",27
"hsa04010","MAPK signaling pathway","70/1446","301/8586",0.00223086149366694,0.0397546098809971,0.0318536544215374,"5880/55799/5600/2353/1843/3303/4915/8912/5604/9254/1943/4615/1435/2254/6722/3164/6300/2768/5594/80310/7867/7423/8074/3725/3304/1850/5906/4294/9344/5602/784/7186/27330/4791/2885/5495/5062/5879/5534/8649/2253/9448/59283/3312/25780/8550/3643/468/1649/5894/5578/22800/5154/3480/2317/3791/1956/3554/2247/3630/2122/5228/4208/8517/5321/4233/6196/5155/2066/3815",70
"hsa05418","Fluid shear stress and atherosclerosis","37/1446","139/8586",0.00227265369544918,0.0397546098809971,0.0318536544215374,"5880/5600/2353/1843/51588/1535/6300/808/1003/658/5290/3725/5602/5879/805/3685/9446/3320/6613/801/657/93/5562/5563/90/2947/5175/6385/5154/3791/3554/1728/4208/4688/8517/5155/7850",37
"hsa05010","Alzheimer disease","86/1446","384/8586",0.00243501541808464,0.0397546098809971,0.0318536544215374,"91252/64837/2776/5604/7976/89953/1435/8851/4035/9377/5594/808/5290/3831/5602/7186/4040/322/823/4709/3028/317/7385/351/83464/805/514/5534/4706/7922/4537/10975/1454/1349/4694/4698/4716/7381/4729/1329/54539/4701/4707/506/4541/4708/513/801/4728/498/1347/1350/4717/51079/4536/4508/5682/4842/5700/5685/84790/292/5717/55062/10383/5695/824/3643/468/5686/1649/7277/5894/5718/1965/30849/4704/203068/2597/84617/3630/5692/4509/347733/8517/25825",86
"hsa05166","Human T-cell leukemia virus 1 infection","54/1446","222/8586",0.00249208002239087,0.0397546098809971,0.0318536544215374,"3135/3122/1030/3134/2353/3109/3123/3113/111/1959/3105/5604/3108/706/3561/1958/4773/6722/3115/7538/4487/4801/5594/5290/3725/3106/581/5602/4791/567/8829/5534/4055/5902/3107/119504/292/821/468/3716/331/7514/6929/3554/4088/4316/8061/6776/3119/3601/8517/4085/9586/7850",54
"hsa04940","Type I diabetes mellitus","15/1446","43/8586",0.00318532246522753,0.0444720201674638,0.0356335118388163,"3135/3122/3134/3109/3123/3113/5799/3105/3108/3115/3106/1363/3107/3630/3119",15
"hsa04144","Endocytosis","59/1446","250/8586",0.00338075029948429,0.0444720201674638,0.0356335118388163,"3135/23624/3134/3303/30011/10095/26119/3105/156/440073/9727/10938/55738/5337/3561/11267/100287171/868/10617/381/116983/5662/83737/116988/81873/128866/3304/3106/23325/644150/1601/1759/8724/387680/8027/377/9922/1175/8766/10094/51324/1211/3107/3312/4734/163/51100/57403/6642/10254/56288/3480/51534/273/1956/3579/26052/4088/64411",59
"hsa05416","Viral myocarditis","19/1446","60/8586",0.00342198736820181,0.0444720201674638,0.0356335118388163,"5880/3135/3122/3908/3134/3109/3123/3113/3105/3108/3115/3106/1756/5879/6443/3107/1982/1525/3119",19
"hsa05164","Influenza A","43/1446","171/8586",0.00343410259290798,0.0444720201674638,0.0356335118388163,"3122/578/3665/3109/3123/3113/834/29108/5604/3108/8743/3460/4615/8106/3115/5594/3661/5290/6352/581/3337/10241/317/8766/57506/292/3454/3716/5894/4928/1965/3459/7514/5578/91543/5611/3119/3717/8517/8797/5644/5646/5645",43
"hsa05016","Huntington disease","70/1446","306/8586",0.00345155977419122,0.0444720201674638,0.0356335118388163,"64837/2776/89953/9377/2891/51164/3831/4294/581/5602/7186/127602/4709/1175/317/7385/514/4706/4537/10975/5431/1211/1349/4694/3066/4698/4716/7381/4729/1329/54539/4701/5441/4707/506/4541/4708/513/4728/498/1347/1350/4717/51079/4536/4508/5682/5700/163/5685/84790/292/5717/55062/84516/10383/10540/5695/5686/7277/5718/30849/4704/203068/56171/84617/5692/4509/347733/9586",70
"hsa04151","PI3K-Akt signaling pathway","80/1446","359/8586",0.00390132305311264,0.0460264800457049,0.036879033500879,"1277/3908/7058/3911/6256/4915/1129/1285/5604/1943/1278/1435/64223/3561/5105/10110/2254/3164/2057/3693/5594/80310/5290/5521/11140/7423/8074/6794/9223/2885/2782/1293/59345/3672/2787/5879/672/5520/92579/3685/2790/2253/3320/3675/2783/5527/7531/3454/9470/3643/468/5562/57818/5563/5523/6199/3716/5894/7534/5578/3694/6198/5154/3480/6446/10161/3791/1956/2247/3630/5228/3717/3918/8517/4233/3655/9586/5155/2066/3815",80
"hsa00280","Valine, leucine and isoleucine degradation","16/1446","48/8586",0.00396464477563226,0.0460264800457049,0.036879033500879,"35/1962/316/4329/5096/54511/3032/3028/84693/64087/217/197322/3030/56922/586/3033",16
"hsa01200","Carbon metabolism","31/1446","115/8586",0.00403974619271445,0.0460264800457049,0.036879033500879,"54363/5313/35/132158/275/55902/2645/8801/55753/5631/4329/5096/3417/83440/84693/2746/5211/2098/4200/5315/6888/5213/2026/6472/7167/2597/226/3419/2023/5723/29968",31
"hsa05171","Coronavirus disease - COVID-19","55/1446","232/8586",0.00412177433245118,0.0460264800457049,0.036879033500879,"729/5600/2212/2353/834/629/721/715/4615/6300/5594/3661/9636/5290/3725/5602/6156/8829/717/6168/6144/6146/57506/6187/6231/6189/6160/6201/6230/6128/6193/6222/2197/6161/11224/23521/6175/6188/6159/6171/6129/9045/6132/9349/6134/3454/6223/3716/718/5578/6192/1956/51187/8517/2266",55
